"Product Code","Product Name",Variant,Expected,Counted
04624572,"LG MS210 LCD",,-2.0000,
04635667,"Samsung Gear VR",,-1.0000,
04798492,"OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Stardust",,1.0000,
04918736,"Logitech Wireless Mouse (M325C)",,-9.0000,
050036353397,"JBL - Charge 4 water proof ",,2.0000,
050036353403,"JBL- Charge 4 Waterproof bluetooh Speaker - Blue",,-3.0000,
050036353632,"JBL- LIVE 400BT on ear Bluetooth Headphone-Black",,-1.0000,
050036353649,"JBL- LIVE 400BT on ear Bluetooth Headphone-Blue",,1.0000,
050036353670,"JBL- LIVE 400BT on ear Bluetooth Headphone-Red",,0.0000,
050036353687,"JBL - LIVE 500BT over ear Bluetooth Headphone - Black ",,0.0000,
050036353694,"JBL - LIVE 500BT over ear Bluetooth Headphone - Blue",,3.0000,
050036353724,"JBL - LIVE 500BT over ear Bluetooth Headphone - Red",,-1.0000,
050036354165,"Clip 3 Waterproof Bluetooth Speaker - Black",Blue,3.0000,
050036354165,"Clip 3 Waterproof Bluetooth Speaker - Black",Red,0.0000,
"050036354165 0","JBL - Clip 3 Waterproof Bluetooth Speaker - Blue",,1.0000,
050036354172,"Clip 3 Waterproof Bluetooth Speaker - Red",,4.0000,
050036354196,"JBL - Clip 3 Waterproof Bluetooth Speaker - Teal",,1.0000,
050036354288,"Go 2 Waterproof Bluetooth Speaker - Black",Black,0.0000,
050036354288,"Go 2 Waterproof Bluetooth Speaker - Black","Champagne Gold",0.0000,
050036354318,"JBL- Go 2 Waterproof speaker - Gray",,0.0000,
050036354325,"Go 2 Waterproof Bluetooth Speaker - Champagne Gold",,0.0000,
050036355469,"JBL T Series T110 In Ear Wired Headphones - Black",,51.0000,
050036355483,"JBL - T Series T110 Ear Wired Headphones - Blue",,26.0000,
050036355506,"T Series T110BT In Ear Bluetooth Headphones - Black",,1.0000,
050036355513,"T Series T110BT In Ear Bluetooth Headphones - White",,0.0000,
050036355520,"T Series T110BT In Ear Bluetooth Headphones - Blue",,-1.0000,
050036355568,"JBL - T Series T205 In Ear Wired Headphones - Black",,21.0000,
050036355582,"JBL - T Series T205 In Ear Wired Headphones - Rose Gold",,-4.0000,
050036355599,"JBL - T Series T205 In Ear Wired Headphones - Champagne Gold",,23.0000,
050036355674,"JBL-T Series T500BT on ear bluetooth Headphone - Black ",,0.0000,
050036355711,"JBL- T Series T600BTNC on Ear Headphone - Black",,0.0000,
050036355773,"Endurance Run Waterproof In Ear Wired Headphones - Black",,13.0000,
050036355780,"Endurance Run Waterproof In Ear Wired Headphones - Blue",,16.0000,
050036355797,"Endurance Run Waterproof In Ear Wired Headphones - Red",,11.0000,
050036358644,"T Series T205BT In Ear Bluetooth Headphones - Champagne Gold",,5.0000,
050036358668,"T Series T205BT In Ear Bluetooth Headphones - Blue",,8.0000,
050036359276,"Flip 5 Waterproof Bluetooth Speaker - Blue",,3.0000,
050036359283,"Flip 5 Waterproof Bluetooth Speaker - Red",,0.0000,
050036359290,"Flip 5 Waterproof Bluetooth Speaker - Grey",,0.0000,
050036361088,"Flip 5 Waterproof Bluetooth Speaker - Black",Black,-1.0000,
050036361088,"Flip 5 Waterproof Bluetooth Speaker - Black",Gray,0.0000,
050036362313,"JBL - pulse 4 waterproof Speaker ",,1.0000,
050036364881,"JBL - Tune 115BT Wireless Earbuds",,4.0000,
050036365116,"JBL - Live 300TWS True Wireless In Ear Bluetooth Headphones - Black",,2.0000,
050036369091,"JBL - Tune 700BT over Ear Bluetooth Headphones",,0.0000,
050036374033,"JBL - Tune 225 True Wireless Earbud Bluetooth Headphones - Black",,3.0000,
050036374262,"JBL- Go 3 waterproof Speaker ",,2.0000,
05020479,"STYLO 6 64GB",,-1.0000,
05081749,"OtterBox - Symmetry Case for Samsung Galaxy S10 Plus - Ivy Meadow",,1.0000,
05163093,"Generic Cases S7 Edge",,-19.0000,
05297479,"alcatel 1B ",,-3.0000,
05807362,"Alcatel Glimpse",,-2.0000,
05838092,"Iphone Versus case",,10.0000,
06004982,"Apple Watch Band",,-2.0000,
06153941,"Samsung Galaxy Halo",,2.0000,
06243732,"Samsung Fast Adapter",,-4.0000,
06472890,"Generic Tablet Digitizer",,-6.0000,
06583738,"Pet Speaker",,9.0000,
06678351,"LG k30 tmobile LCD",,-2.0000,
06925103,"Aristo 2 Plus LCD",,-1.0000,
07004753,"iPhone 7 Lightning Adpater",,-5.0000,
07113875,"OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Gradient Energy",,1.0000,
07337094,"USB Adapter IP OEM",,27.0000,
07476832,"Samsung Galaxy Core Prime",,0.0000,
07483939,"iPhone XS max 64 GB",,-1.0000,
07551943,"Macbook Pro",,-2.0000,
07768998,"Galaxy A20s",,2.0000,
07925273,"iPhone 6S Plus 16GB (Refurbished)",,0.0000,
08038772,"iPhone 4S LCD ",Black,-1.0000,
08054046,"DEVICE UNLOCK (CARRIER)",,-29.0000,
08206564,"iphone 7 plus 256GB Refurbished unlocked","Jet Black",1.0000,
08206564,"iphone 7 plus 256GB Refurbished unlocked","Prroduct Red",-1.0000,
08245412,"Microsoft Surface Book 1703 1704 Pixelsense LCD Touch Screen Assembly USA",,-1.0000,
08307400,"15.6"" laptop case",,-1.0000,
08441087,"Samsung J2 Battery",,0.0000,
08455825,"samsung galaxy j8",,0.0000,
08643794,"Samsung Lcd SM-A750G",,-2.0000,
0878615091375,"Jib In Ear Wired Headphones - White and Black",,10.0000,
08803802,"Zte Blade Z",,-7.0000,
08890616,"Belkin - Boost Up Charge Multi Port Power Bank 10,000 mAh - Black",,4.0000,
09071612,"Galaxy J7 sky pro (Total wireless $50 plan)",,0.0000,
09167549,"Gogroove Bass Pulse 2.1",,-1.0000,
09264681,"Z981 Battery",,-1.0000,
09403251,"Galaxy J7 crown",,-9.0000,
09495331,"Skullcandy - Indy True Wireless In Ear Bluetooth Earbuds - Black",,3.0000,
09673514,"Genuine Dell Inspiron 3264 Capacitive Touch Digitizer YP78X 0YP78X",,1.0000,
09694546,"mophie - Power Boost XXL Power Bank 20,800 mAh -  Black",,2.0000,
09871738,"OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Black",,1.0000,
09910059,"iPhone 6S Plus Battery",,-44.0000,
10000004,"Galaxy S6 Edge",,0.0000,
10000006,"Galaxy S7",,0.0000,
10000007,"Galaxy S7 Edge",,-1.0000,
10000008,"Galaxy S8",,-1.0000,
10000009,"Galaxy S8 +",,0.0000,
10000016,"Galaxy J7",,-3.0000,
10000017,"Galaxy J7 Prime 16GB",,0.0000,
10000018,"Galaxy J3",,-1.0000,
10000022,"iPhone 4",,-1.0000,
10000024,"iPhone 5",,-2.0000,
10000025,"iPhone 5S Unlocked Refurbished",,0.0000,
10000027,"iPhone 6 16GB (New)",,-1.0000,
10000028,"iPhone 6 Plus",,1.0000,
10000029,"iPhone 6S",,-20.0000,
10000030,"iPhone 6S Plus",,-7.0000,
10000031,"iPhone 7 32GB Refurbished Unlocked",,-13.0000,
10000032,"iPhone 7 Plus",,-15.0000,
10000033,"iPhone 8",,-15.0000,
10000034,"iPhone 8 Plus",,-8.0000,
10000035,"iPhone X 64 GB Refurbished ",Black,-22.0000,
10000035,"iPhone X 64 GB Refurbished ",Silver,2.0000,
10000036,"Bluetooth Speaker",,-20.0000,
10000037,Speaker,,0.0000,
10000038,Misc.,,-4708.0000,
10000039,"Car Mount",,-14.0000,
10000043,"Samsung Wireless Charger",,-5.0000,
10122652,"Samsung Active Headphones",,-1.0000,
10265609,"Alacatel B1",,-2.0000,
10275596,"Blu C6",,0.0000,
10353288,"iPad Battery",,-3.0000,
10436940,"inland intruder alert",,-2.0000,
10567056,"APPLE MacBook Air 13 A1369 2011 i5 1.7GHz 4GB Logic Board Motherboard 820-3023-A",,1.0000,
107082082703,"iPhone 12/12 Pro LCD",,-10.0000,
107082082802,"iPhone 12 Mini LCD",,-3.0000,
107082082902,"iPhone 12 Pro Max LCD",,0.0000,
10816366,"LCD Replace/Repair",,-9.0000,
10828710,"iPhone 6S Plus (32GB)",,-2.0000,
10961958,"samsung charging cable",,-3.0000,
10963093,"LG rebel 2 (SMPL Mobile $30 Plan)",,0.0000,
11056958,"Galaxy s9 rear camera",,0.0000,
11465883," Z Play XT1635-01 LCD",,0.0000,
11519181,"Spigen - Tough Armor Case for Apple AirPods - Charcoal",,2.0000,
11556598,"Logitech Wireless Keyboard+Mouse",,-5.0000,
11627841,"iPhone 11 Pro 256GB Refurbished",,-1.0000,
11978736,"Magnet Car Mount",,-3.0000,
12020078,"Galaxy A70 128GB",,-2.0000,
12070413,"Samsung Galaxy S9 Plus",Black,-3.0000,
12070413,"Samsung Galaxy S9 Plus",Blue,1.0000,
12070413,"Samsung Galaxy S9 Plus",Purple,0.0000,
12144102,"Airpods Pro",,-1.0000,
12225838,"Ethernet Cable",,-5.0000,
123,"case and temper glass",,-1.0000,
1234,"simple mobile phone",,-8.0000,
12395359,"iPhone XR 64gb refurbished",,-10.0000,
12453537,"iphone xs 256 GB NEW",,0.0000,
12619133,"iPhone XR charging port",,-1.0000,
12655772,"Galaxy S8 Plus LCD",,-20.0000,
12763892,"iPad Air Digitizer",,-8.0000,
13044189,"iPad mini Digitizer",,-18.0000,
13077544,"HP Laptop",,-1.0000,
131313,"iPhone 13",,-1.0000,
13138190,"HTC 10 Evo ",,-1.0000,
13171716,"Galaxy A01 core",,-12.0000,
13221086,"Samsung S8 Plus Back door glass",,-17.0000,
13274368,"iphone 6s Charging port",,-4.0000,
1341324134,"Samsung J727 LCD ",,-12.0000,
13440263,"Samsung S7 Edge Charging Port",,-1.0000,
13500001,"Playstation VR Bundle",,1.0000,
14394524,"2M Cable IP5/6 OEM",,24.0000,
14500802,"Samsung S8 headphone (AKG IG-955)",,-6.0000,
14724960,"iPhone 12 Pro Max 256GB",,0.0000,
15029436,"Lg Phoenix 3 (ATT)",,2.0000,
15136580,"JBL - Clip 3 Waterproof Bluetooth Speaker - Gray",,-1.0000,
15291259,"Samsung Note 5 Back door glass",,-1.0000,
15567557,"iphone 7 rear camera",,-1.0000,
15580164,"Toshiba Portable Hard Drive",,-4.0000,
15613382,"1M Cable IP5/6 OEM",,80.0000,
15723729,"Belkin - Wireless Charging Pad 10W - Black",,2.0000,
15914670,"Samsung s6 Edge LCD ",Blue,1.0000,
15914670,"Samsung s6 Edge LCD ",Black,-4.0000,
16292156,"Otterbox - Symmetry Case for Apple iPhone Xs Max - Black",,0.0000,
16621089,"Galaxy J4+ 16 GB",,-1.0000,
16789122,"Samsung Galaxy S8 (Refurbished)",,-1.0000,
17271426,"Galaxy S8 Battery",,-2.0000,
17477021,"LG X220PM",,-1.0000,
17507189,"iPhone Back Camera Glass",,-1.0000,
17525177,"SmartWatch ",,-3.0000,
17540701,"Flip 2",,2.0000,
17545513,"Rebel 3 with $25 SMPL mobile plan",,-1.0000,
17547048,"Car Universal Holder",,-3.0000,
17559817,"BLU Dash M2",,-1.0000,
17664116,"iPhone 7 Plus Charging Port",,-17.0000,
17668889,"Belkin Car Charger IP",,-2.0000,
18107956,"Galaxy j3 orbit",,-5.0000,
18117013,"iPhone 7 Headphone",,44.0000,
18212006,"Samsung Fast Charger",,-37.0000,
18251246,"Lenovo 110-15ISK 15.6"" Laptop - Intel Core i3 - 6GB Memory - 1TB Hard Drive",,-1.0000,
18254468,"OtterBox - Commuter Case for Samsung Galaxy S10 Plus - Bespoke Way",,1.0000,
18309917,"Macbook Pro Battery",,0.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Black,-3.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Gold,2.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Silver,0.0000,
18728028,"AIRPODS PRO",,-1.0000,
18868541,"Samsung 1350 Bluetooth headphone",,0.0000,
191058071682,"UA Protect Dry Bag - Black and Clear",,3.0000,
191058094476,"Incipio-Ghost110 Wireless Charging pad 5W-Black",,2.0000,
191058120878,"Kate Spade - Hardshell Case for Apple iPhone 12 mini - Hollyhock Floral",,1.0000,
191058120892,"Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Hollyhock Floral",,1.0000,
191058120908,"Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Hollyhock Floral",,1.0000,
191058120991,"Kate Spade - Hardshell Case for Apple iPhone 12 mini - Daisy",,1.0000,
191058121011,"Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Daisy",,1.0000,
191058121028,"Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Daisy",,1.0000,
191058122650,"Kate Spade - Hardshell Case for Apple iPhone 12 mini - Scattered Flowers",,1.0000,
191058122674,"Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Scattered Flowers",,1.0000,
191058122681,"Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Scattered Flowers",,1.0000,
19128899,"Apple Watch Series 3 38mm",,0.0000,
19147381,"galaxy s9 back glass",,-8.0000,
19160528,"ZTE Z222",,-1.0000,
19284650,"Samsung Galaxy J2 Prime",,-1.0000,
19303320,"INSTALLATION CHARGE",,-2.0000,
19360684,"Galaxy Note 3 Battery",,2.0000,
19696300,"Otterbox - Symmetry Case for Apple iPhone Xs Max - Tonic Violet",,1.0000,
19779061,"Note 10 plus headphone",,-1.0000,
19936546,"iphone flower case",,8.0000,
19961111,"1M Cable IP XS MAX OEM",,-3.0000,
20049949,"MacBook Air 13 Inch",,-1.0000,
20211309,"Galaxy J7 Star ",,0.0000,
20255572,"Huawei P Smart",,0.0000,
20380561,"Ipad pro A1674 LCD",,-2.0000,
21035050,"Motorola Power pack 4000",,-1.0000,
21068824,"Apple Ipad 16 GB",,-1.0000,
21094319,"iPhone 7 128GB Refurbished","Jet Black",3.0000,
21094319,"iPhone 7 128GB Refurbished",Red,0.0000,
21094319,"iPhone 7 128GB Refurbished",Black,-4.0000,
21581054,"Transcend 8GB USB flash drive",,-1.0000,
21848408,"iPhone 7 Plus 128GB Refurbished",Black,-5.0000,
21848408,"iPhone 7 Plus 128GB Refurbished","Rose Gold",1.0000,
21848408,"iPhone 7 Plus 128GB Refurbished",Red,-3.0000,
21848408,"iPhone 7 Plus 128GB Refurbished",Silver,0.0000,
21848408,"iPhone 7 Plus 128GB Refurbished",Gold,1.0000,
21949605,"Galaxy J7 Neo 16GB",,0.0000,
22126341,"Samsung phone cable",,-1.0000,
22170715,"Moto G Pure",,-1.0000,
22311756,"Samsung Galaxy A10e",,-2.0000,
22398603,"Top Tech Kids Tab ",,-1.0000,
22577601,"TracFone Flip phone",,-2.0000,
22580438," Galaxy A03s",,-3.0000,
22602047,"ASUS K501UX",,2.0000,
22716320,"iPhone SE 16GB Refurbished",,-4.0000,
22812391,"Logitech MK235 Wirless Mouse & Keyboard Combo",,2.0000,
23100395,"Generic Headphone",,-11.0000,
23109570,"HP Pavillion Dv6",,-2.0000,
23216383,"JBL FOCUS BT Headphones",,-6.0000,
23333208,"ZTE Axon M",,2.0000,
23572741,"Samsung J2 Pro",,-2.0000,
23592210,"USB 3.0 Gigabit RJ45 Ethernet Lan Network Cable Adapter Hub",,5.0000,
23648899,"Otterbox - Commuter Case for Apple iPhone Xs Max - Ocean Way",,0.0000,
23714620,"LG Rebel 4 (with $25 plan)",,-6.0000,
23721475,"VTECH Home phone set",,-1.0000,
23723791,"Spigen - Tough Armor Case for Apple AirPods - Black",,2.0000,
23924776,"XBOX CONTROLLER",,-1.0000,
23983779,A30s,,-1.0000,
24079812,"Tmobile sim card",,-1.0000,
24080383,"Galaxy Note 9 Unlocked",,-1.0000,
24120861,"Logitech® MK320 Wireless Desktop Keyboard/Mouse",,2.0000,
24187212,"EVO 256 GB SSD",,-2.0000,
24242175,"Iphone XR 256 GB",,1.0000,
24283905,"COBY Mini Stereo",,-1.0000,
24327663,"Otterbox - Symmetry Case for Apple iPhone Xs / X - On Fleck",,1.0000,
24602622,"Samsung S9 Battery",,0.0000,
24702183,"A1446 LCD - A1446 LCD ",,0.0000,
25017569,Diagnostics,,-1.0000,
25115200,"Samsung Galaxy AMP Prime",,1.0000,
25174948,"Screen Replacement",,-1.0000,
25185244,"iPhone 6 Plus Charging Port",,-6.0000,
25273399,"HP Elite book Core i7",,0.0000,
25298206,"iphone gucci case",,0.0000,
25316227,"Amazon Fire 7 Kids Edition",,-7.0000,
25417788,"ipad pro 12.9 inch A1670 LCD",,-2.0000,
25525005,"AC Power Adapter (Multi Functions)",,-1.0000,
25532051,"Otterbox - Commuter Case for Apple iPhone Xs / X - Ballet Way",,0.0000,
25803284,"SONY Compact Style (MDR-EX110AP)",,17.0000,
25820439,"OtterBox - Commuter Case for Samsung Galaxy S10 - Ballet Way",,1.0000,
25839827,"Skullcandy - Jib Active In Ear Wireless Headphones - Blac",,10.0000,
25884632,"iPhone 5s Battery",,2.0000,
25890659,"Otterbox - Symmetry Case for Apple iPhone Xs Max - Ashed For It",,0.0000,
25933770,"Samsung J3 2017 Prime J327 LCD",black,1.0000,
25933770,"Samsung J3 2017 Prime J327 LCD",sliver,2.0000,
26041944,"iPhone Camera Lens",,-2.0000,
26321587,"Galaxy M20",,0.0000,
26557212,"Screen Protector",,-99999999999.9999,
26995259,"iPhone 6 Plus Home button",,-5.0000,
27085652,"Samsung Galaxy  J4 32GB",,-2.0000,
27169127,"Otterbox - Commuter Case for Apple iPhone XR - Ocean Way",,0.0000,
27170827,"Inland USB Mouse",,6.0000,
27430456,"Dell E6530",,-1.0000,
27646566,"Otterbox - Symmetry Case for Apple iPhone Xs / X - Fine Port",,1.0000,
27814536,"Coolpad 3300A 4GB Black LCD AND DIGITIZER",,-1.0000,
27836671,"SONY PS 4 1TB",,1.0000,
28174795,"HP Laptop",,-4.0000,
28336439,"Ipad mini 1 LCD",,1.0000,
28452994,"Motorola 105 Bluetooth headphone with alexa",,4.0000,
28612410,"iPad LCD and Digitizer ",Black,-22.0000,
28859500,"Samsung Galaxy Tab E 8.0 T377T WiFi + 4G",,1.0000,
28931689,"LG K20 LCD",,-3.0000,
28985585,"Galaxy A51",,1.0000,
28997859,"Samsung J6 32GB",,0.0000,
29116479,"Motorola HK115",,-2.0000,
29262124,"samsung U Headphones",,3.0000,
29290923,"iPhone SE Battery",,3.0000,
29295201,"LG K8V (VER) - with $40 plan",,0.0000,
29775050,"Iphone 7 32 GB",,-4.0000,
29822100,"OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ballet Way",,1.0000,
29914775,"Samsung S7 Edge Back Camera Lense",,-2.0000,
30121762,"Air Pod Pro",,2.0000,
30392909,"iPhone XS Max rear camera",,-1.0000,
30393339,"HP Laptop (Refurbished)",,-1.0000,
30402060,"iPhone 6 16GB (Refurbished)",,0.0000,
30418401,"Otterbox - Commuter Case for Apple iPhone Xs / X - Black",,2.0000,
30418502,"Unlock Service",,-4137.0000,
30438348,"OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Ivy Meadow",,1.0000,
30616578,"Alcatel A 30 Plus",,1.0000,
30632467,"Samsung galaxy s9 ",,-5.0000,
30997954,"iphone XS Max 64GB Refurbished",,-3.0000,
31028459,"alcatel volta",,-3.0000,
31044079,"Air Pods 2",,-4.0000,
31047466,"Xbox One S 1TB Console",,0.0000,
31089865,"Galaxy S7 Battery",,1.0000,
31154554,"OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Black",,-2.0000,
31256940,"Tab Affix",,0.0000,
31486031,"T&G bluetooth speaker",,3.0000,
31530910,"Iphone XR 64 GB (Refurbished) ",,-3.0000,
31732374,"HP EliteBook Folio 9480m i5-4210",,1.0000,
32048428,"iPhone 6S 32GB Refurbished",Silver,0.0000,
32048428,"iPhone 6S 32GB Refurbished","Space Gray",3.0000,
32229203,"Sony Xperia",,0.0000,
32234568,"iphone HP",,2.0000,
32415095,"Galaxy A71",,0.0000,
32451579,"iPhone 13 Pro Max 128GB Graphite",,-1.0000,
32627760,"Generic Repair Parts ",,3.0000,
33010362,"Printer Cable",,-1.0000,
33051102,"OtterBox - Commuter Case for Apple iPhone 8 / 7 -  Ballet Way",,-1.0000,
33201519,"Logitech® MK235 Wireless Optical Mouse And Keyboard",,2.0000,
3333333,"MACBOOK AIR",,-3.0000,
34303758,"Note 10 plus 256 GB",,1.0000,
34306037,"Zte Max XL N9560 LCD",,1.0000,
34327665,"portable Charger",,-7.0000,
34397630,"Revvl Plus",,1.0000,
34479761,"ZTE ZMAX Pro Z981 32GB Black",,-1.0000,
34493501,"Samsung J7 Prime 32GB",,1.0000,
34537977,"Zipper Earphones",,-1.0000,
34623850,"iPhone 5S (16GB)",,-1.0000,
34966131,REFLASH,,-1.0000,
350183770558658,"Galaxy S20 FE",,0.0000,
35064481,"Galaxy S7 Edge LCD",,-6.0000,
35114102,"samsung tab 7 ",,-1.0000,
35136825,"iPhone XR 64 GB",,-1.0000,
35164045,"iPhone 7 Front Camera Flex Cable",,-4.0000,
35184965,"Alcatel Tetra 16 GB",,-3.0000,
35317143,"iPhone 6 Plus 64GB Certified Refurbished",,-1.0000,
35379132,"Samsung J7 J727T1 LCD",,-4.0000,
35432799,"type C to USB cable",,-4.0000,
35646102,"iphone xr housing",,-2.0000,
356474105249954,"iPhone SE 2020",,0.0000,
35761633,"Galaxy S10 plus 512 GB",,0.0000,
35897695,"Samsung S7 Edge Back door glass",,-1.0000,
35940745,"Google - Home - Smart Speaker with Google Assistant",,2.0000,
36035938,"Galaxy M30",,0.0000,
36044773,"Verizon Ellipsis 8 QTAQZ3",,-1.0000,
36059855,"LG Fortune",,-1.0000,
36360746,"Samsung Galaxy Note 8 64 GB",,1.0000,
36517226,"iPhone 8 Plus Battery",,1.0000,
36537715,"Samsung S8 Back door glass",,-11.0000,
36627334,"Android FRP Unlock",,-99999999999.9999,
36786004,"Galaxy S6 Edge Battery",,3.0000,
36790076,"PS 4 Repair/ HDMI Port Repair",,-18.0000,
36852921,"iphone 7 plus 128 GB",,2.0000,
36870373,"Motorola Boom2",,-3.0000,
37220910,"iphone 7 headphone adapter ",,5.0000,
37225428,"Galaxy S10 128GB ",,-2.0000,
37954142,"Apple Watch Seies 3 38mm",,-2.0000,
38355760,"iPhone 6s 128GB",,0.0000,
38454437,"Beats Solo Red Headphone wired ",,-1.0000,
38567291,"Galaxy S6 LCD ",,-5.0000,
38730830,"Audster AUD-L660",,-1.0000,
38746257,"iPhone 6 Home Button",,-18.0000,
38913049,"LG 8X DVD WRITER",,2.0000,
38914037,"I pad Mini",,2.0000,
39120878,"Samusng J700 T1 LCD",,-3.0000,
39164266,"ATT IPAD UNLOCK (CARRIER)",,-1.0000,
39351801,"LG journey",,-4.0000,
39499351,"Otterbox - Symmetry Case for Apple iPhone Xs / X - Ashed For It",,1.0000,
39524077,"Samsung S6 Back door glass",,-2.0000,
39725203,"mophie - Power Boost XL Power Bank 10,400 mAh -  Black",,-1.0000,
39836060,"iPad Digitizer",,-99999999999.9999,
39873942,"Amazon Fire TV 4K Ultra",,-2.0000,
39884685,"urbeats earbuds",,0.0000,
39955976,"AirPod Genuine",,-18.0000,
40100376,"Dell Inspiron T24T laptop ",,0.0000,
40618015,"iPhone 4S Battery",,1.0000,
40714628,"Beats Solo 3 Wireless",,-1.0000,
40769827,Maestro,,-2.0000,
40856376,"Samsung U Flex",,-2.0000,
40862973,"EU to US Plug",,-2.0000,
40985327,"Samsung Tab 3  inch",,-1.0000,
41146370,"Apple Ipad Air 2",,-1.0000,
41470366,"Reiko iPhone 6 Cases",,-4.0000,
41476891,"A1238 BATTERY",,0.0000,
41624798,"iPhone 6s Home Button",,-29.0000,
41780846,"Galaxy S7 LCD",,-7.0000,
41803399,"Apple IPOD TOUCH 4 4TH GEN LCD",,0.0000,
42205264,"Mac pro 15 A1398 Display""",,-1.0000,
42247596,"LG G Pad F 8.0 V495 V496 LCD",,1.0000,
42298796,"iphone 8 red housing back glass",,0.0000,
42355924,"iPhone 6 Plus Battery",,-23.0000,
42627124,"iphone 8 64 GB unlocked refurbished GSM/CDMA ",,-14.0000,
42669827,"One plus 5T LCD",,-1.0000,
42730820,"Sandisk Flash Drive 64GB",,-4.0000,
42790797,"Galaxy S4 Battery",,3.0000,
42798656,"1M Cable IP7 OEM",,-31.0000,
42854637,"LG K7 LCD",,-1.0000,
42857637,RESET,,-540692060.0000,
43175915,"A21s 64GB",,-7.0000,
43184955,"iphone 6 plus 16GB Refurbished",,0.0000,
43388550,"Revvl Plus (t-mobile)",,-1.0000,
43396433,"Galaxy J6",,0.0000,
43635049,"iPad mini 1/2 Digitizer",,-21.0000,
43662222,"Phone Battery",,-2.0000,
43869018,"OtterBox - Commuter Case for Samsung Galaxy Note 9 - Black",,0.0000,
43970264,"Google - Home Mini (1st Generation)",,1.0000,
44156223,"Alcatel 1SE",,-1.0000,
4444,"Ps4 controller",,-1.0000,
44443773,"J320 LCD",,-1.0000,
44524453,"Samsung Gear Icon X 2018 SM-R140 Wireless Bluetooth Headset Black IconX 2018",,0.0000,
44644192,"INLAND IK100 KEYBOARD",,10.0000,
44659460,"iPhone 7 Plus Front camera Flex Cable",,-36.0000,
44818217,"iPhone AUX Jack",,-10.0000,
44851415,"LG K4",,-1.0000,
44922798,"Logitech® MK270 Wireless Keyboard and Mouse Combo",,2.0000,
44925342,"TCL A1 with simple $25 plan",,-2.0000,
44933917,"LG Aristo LCD",,-46.0000,
45040022,"Ipad 7th Generation",,0.0000,
